K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10
0.0504159725571725,0.0353269927252399,0.0302215474616478,0.0279477802673702,0.0277131857301084,0.0256922965798125,0.0238925217516639,0.022818471674323
0.0488990420080211,0.0346179843543716,0.0296312792312661,0.0274011177530636,0.0271767343218179,0.0252013001740472,0.0234342964270859,0.0223868959430087
0.0474393708296837,0.0339286253450697,0.0290577966251452,0.0268695491806162,0.0266551459756744,0.0247237243926181,0.0229890094071491,0.0219674884354087
0.0460348395659451,0.0332584909135718,0.0285007517344852,0.0263527637672101,0.0261481300033938,0.0242592986203724,0.0225563951542173,0.0215600065221912
0.0446834095380581,0.0326071652504208,0.0279598062056906,0.0258504583963054,0.0256554028195129,0.0238077606785798,0.022136195448135,0.0211642144224445
0.0433831198819994,0.0319742413956987,0.0274346311974586,0.0253623375763183,0.0251766879254948,0.0233688547527081,0.021728159352198,0.0207798831800399
0.0421320847050502,0.0313593211129941,0.0269249073432121,0.0248881134009359,0.0247117158962721,0.0229423313428604,0.0213320431832796,0.02040679064459
0.0409284903564174,0.0307620147619271,0.0264303247192689,0.0244275055111897,0.0242602243693797,0.0225279472147083,0.0209476104864073,0.0200447214573234
0.0397705928068974,0.0301819411690374,0.0259505828191649,0.0239802410594158,0.0238219580368297,0.0221254653508623,0.0205746320141129,0.0196934670422231
0.0386567151328501,0.02961872749683,0.025485390534579,0.0235460546752294,0.0233966686398816,0.0217346549025982,0.0202128857108948,0.0193528256027966
0.0375852451000099,0.0290720091107551,0.0250344661433372,0.0231246884336447,0.0229841149668658,0.0213552911418419,0.0198621567031594,0.0190226021248738
0.0365546328429013,0.028541429443888,0.0245975373050091,0.0227158918254729,0.0225840628542153,0.0209871554132907,0.0195222372950323,0.0187026083858576
0.035563388635855,0.0280266398590555,0.0241743410646425,0.0223194217301285,0.0221962851908608,0.0206300350865205,0.0191929269704574,0.0183926629708791
0.0346100807518408,0.0275272995081445,0.0237646238652233,0.0219350423909751,0.021820561926144,0.0202837235079017,0.0188740324020327,0.0180925440508443
0.033693333405537,0.0270430751883104,0.0233681415694856,0.0215625253933376,0.0214566800813941,0.0199480199521103,0.0185653674670612,0.0178019098449778
0.0328118247772564,0.0265736411947911,0.0229846594917425,0.0212016496453032,0.0211044337653141,0.0196227295729817,0.0182667532713301,0.0175205757523254
0.0319642851145307,0.0261186791700193,0.0226139524404523,0.0208522013614267,0.0207636241933059,0.0193076633534147,0.0179780181811689,0.017248378158076
0.0311494949083405,0.0256778779487127,0.0222558047722866,0.0205139740494449,0.020434059710857,0.0190026380539785,0.0176989978643711,0.0169851591598575
0.0303662831411389,0.0252509333986139,0.021910010458516,0.0201867685000946,0.020115555821095,0.0187074761598268,0.0174295353406128,0.0167307665313664
0.0296135256039882,0.0248375482565431,0.021576373164587,0.0198703927801101,0.019807935216593,0.0184220058254577,0.0171694810420374,0.016485053685607
0.028890143280275,0.0244374319594231,0.0212547063438225,0.0195646622284582,0.0195110278154869,0.0181460608167891,0.0169186677971918,0.016247879637263
0.0281951007936235,0.0240503004699363,0.0209448333462375,0.0192693994558417,0.0192246708019348,0.0178794804499456,0.0166765699295433,0.0160191089636403
0.0275274049177648,0.0236758760964773,0.0206465875435313,0.0189844343474742,0.0189487086709089,0.0176221095260649,0.0164429116642359,0.0157986117635247
0.0268861027470375,0.0233138873070759,0.0203598124713818,0.0187096040690913,0.0186829932772657,0.017373798261338,0.0162175507047771,0.0155862636131901
0.0262702541935641,0.0229640685369827,0.0200843619902418,0.0184447530761185,0.0184270509672669,0.0171344022113931,0.016000214497639,0.0153818289753629
0.0256789666538444,0.0226261599896351,0.0198201004659109,0.0181897331258669,0.018180042670349,0.0169037821890188,0.0157906704858282,0.0151849059630673
0.0251114001743928,0.0222999074307576,0.0195668526726364,0.0179444032925626,0.0179417744129675,0.0166818041740946,0.0155887757715092,0.014995351314547
0.0245667503949405,0.0219850619753975,0.0193237841539312,0.0177086299849441,0.0177120740289309,0.016468339214461,0.0153943903965202,0.0148130361634399
0.0240442473853613,0.0216813798677566,0.0190905131099252,0.0174822869660776,0.0174907708814093,0.0162632633163091,0.0152073771118044,0.0146378341505415
0.0235431545315585,0.0213886222537557,0.0188668854563018,0.0172652553749385,0.0172776955475838,0.0160664158082046,0.0150276011307172,0.0144696211639702
0.0230627674690612,0.0211065549463591,0.0186527510837037,0.0170574237491915,0.017072679487799,0.0158772323948648,0.0148549298652526,0.0143082750590443
0.0226024130631572,0.0208349481837996,0.0184479634802495,0.0168586880484678,0.016875554700002,0.0156954511292895,0.0146892326443118,0.0141536753566047
0.022161448434472,0.0205735763809735,0.0182523793160246,0.0166689516772791,0.0166861533606874,0.0155209263984446,0.0145303804132519,0.0140057029186103
0.0217392600289804,0.0203222178744334,0.0180658579860178,0.0164881255065323,0.0165043074540711,0.0153535130192958,0.0143782454141171,0.0138642395999798
0.0213352627315119,0.0200806546615828,0.0178882611079007,0.0163161278923967,0.0163298483918069,0.015193065843752,0.0142327008461682,0.0137291678758601
0.020948899021889,0.0198486721348861,0.0177194519710504,0.0161528846910428,0.0161626066262281,0.0150394393452271,0.0140936205066035,0.0136003704437775
0.0205796381729076,0.0196260588121405,0.017559294933299,0.015998329267499,0.0160024112608599,0.0148924871884401,0.013960878411715,0.0134777298004932
0.0202269754894394,0.0194126060641194,0.0174076547620923,0.0158522416179996,0.0158490896627884,0.0147520617847727,0.0138343483991511,0.0133611277938399
0.0198904315880106,0.0192081078411926,0.0172643959170785,0.0157139344098536,0.015702467082401,0.0146180138363119,0.0137139037124791,0.0132504451503904
0.0195695517162712,0.0190123604008461,0.0171293817716559,0.0155832415747642,0.0155623662870051,0.0144901918726403,0.0135994165698591,0.0131455609805031
0.0192639051118427,0.0188251620383763,0.01700247377173,0.0154600550760235,0.0154286072158871,0.0143684417854861,0.0134907577193692,0.0130463522631211
0.0189730844000916,0.0186463128234076,0.0168835305308982,0.0153442667683074,0.0153010066654557,0.0142526063675128,0.0133877959843611,0.0129526933136836
